,loja,data,venda,loja_web,index,c_br,c_uy,s_al,s_am,s_ap,s_ba,s_ce,s_df,s_es,s_ex,s_go,s_ma,s_mg,s_ms,s_mt,s_pa,s_pb,s_pe,s_pi,s_pr,s_rj,s_rn,s_ro,s_rr,s_rs,s_sc,s_se,s_sp,s_to,week_of_year,year,store_avg,store_std,holiday,forecast
71,renner_br_am_1,2022-04-24,124,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2022,215.71636363636364,125.45857309634503,1,188.5777
72,renner_br_am_1,2022-05-01,184,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022,215.71636363636364,125.45857309634503,1,204.01099
73,renner_br_am_1,2022-05-08,172,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,215.71636363636364,125.45857309634503,0,203.42336
74,renner_br_am_1,2022-05-15,158,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2022,215.71636363636364,125.45857309634503,1,204.08015
75,renner_br_am_1,2022-05-22,152,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2022,215.71636363636364,125.45857309634503,0,204.24347
76,renner_br_am_1,2022-05-29,190,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2022,215.71636363636364,125.45857309634503,0,221.21956
77,renner_br_am_14,2022-04-10,66,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,98.83272727272728,66.53752317835419,0,88.08357
78,renner_br_am_14,2022-04-17,66,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,98.83272727272728,66.53752317835419,1,94.37539
79,renner_br_am_14,2022-04-24,60,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2022,98.83272727272728,66.53752317835419,1,95.59889
80,renner_br_am_14,2022-05-01,78,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022,98.83272727272728,66.53752317835419,1,104.48901
81,renner_br_am_14,2022-05-08,64,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,98.83272727272728,66.53752317835419,0,103.3527
82,renner_br_am_14,2022-05-15,69,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2022,98.83272727272728,66.53752317835419,1,104.316475
83,renner_br_am_14,2022-05-22,61,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2022,98.83272727272728,66.53752317835419,0,103.22335
84,renner_br_am_14,2022-05-29,112,0,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2022,98.83272727272728,66.53752317835419,0,109.76384
85,renner_br_am_16,2022-04-10,75,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,100.82545454545456,57.81052684360324,0,87.8009
86,renner_br_am_16,2022-04-17,90,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,100.82545454545456,57.81052684360324,1,95.20272
87,renner_br_am_16,2022-04-24,106,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2022,100.82545454545456,57.81052684360324,1,96.426216
88,renner_br_am_16,2022-05-01,114,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022,100.82545454545456,57.81052684360324,1,106.78673
89,renner_br_am_16,2022-05-08,133,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,100.82545454545456,57.81052684360324,0,105.39634
90,renner_br_am_16,2022-05-15,81,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2022,100.82545454545456,57.81052684360324,1,106.61419
91,renner_br_am_16,2022-05-22,100,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2022,100.82545454545456,57.81052684360324,0,105.26699
92,renner_br_am_16,2022-05-29,102,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2022,100.82545454545456,57.81052684360324,0,113.07436
93,renner_br_am_23,2022-04-10,58,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,68.53090909090909,50.06566809135088,0,64.71158
94,renner_br_am_23,2022-04-17,45,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,68.53090909090909,50.06566809135088,1,66.463684
95,renner_br_am_23,2022-04-24,62,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2022,68.53090909090909,50.06566809135088,1,68.1289
96,renner_br_am_23,2022-05-01,79,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022,68.53090909090909,50.06566809135088,1,69.18601
97,renner_br_am_23,2022-05-08,68,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,68.53090909090909,50.06566809135088,0,68.01948
98,renner_br_am_23,2022-05-15,60,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2022,68.53090909090909,50.06566809135088,1,69.222885
99,renner_br_am_23,2022-05-22,54,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2022,68.53090909090909,50.06566809135088,0,68.02661
100,renner_br_am_23,2022-05-29,52,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2022,68.53090909090909,50.06566809135088,0,73.672195
101,renner_br_am_33,2022-04-10,116,0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,115.03272727272729,84.66086716226235,0,107.24919
102,renner_br_am_33,2022-04-17,138,0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,115.03272727272729,84.66086716226235,1,111.97972
103,renner_br_am_33,2022-04-24,116,0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2022,115.03272727272729,84.66086716226235,1,112.76492
104,renner_br_am_33,2022-05-01,159,0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022,115.03272727272729,84.66086716226235,1,123.451645
105,renner_br_am_33,2022-05-08,144,0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2022,115.03272727272729,84.66086716226235,0,122.22361
106,renner_br_am_33,2022-05-15,114,0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2022,115.03272727272729,84.66086716226235,1,123.279106
107,renner_br_am_33,2022-05-22,97,0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2022,115.03272727272729,84.66086716226235,0,122.09426
108,renner_br_am_33,2022-05-29,116,0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2022,115.03272727272729,84.66086716226235,0,130.63148
109,renner_br_am_8,2022-04-10,160,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2022,196.5818181818182,115.69335427309348,0,177.23228
110,renner_br_am_8,2022-04-17,172,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2022,196.5818181818182,115.69335427309348,1,178.57974
111,renner_br_am_8,2022-04-24,123,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2022,196.5818181818182,115.69335427309348,1,182.41498
112,renner_br_am_8,2022-05-01,229,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,2022,196.5818181818182,115.69335427309348,1,197.21808
